data_idx,ConvID,qt_movies_mentioned,user_chrono_id,movie_ReDOrId,rating
0,391,0,0,3883,1
1,391,0,0,5608,1
2,391,0,0,4819,1
3,391,0,0,354,1
4,391,0,0,4090,1
5,391,0,0,1314,1
6,391,2,1,4819,1
7,391,2,1,354,1
8,391,2,1,4090,1
9,391,2,1,1314,1
10,391,3,2,354,1
11,391,3,2,4090,1
12,391,3,2,1314,1
13,391,4,3,4090,1
14,391,4,3,1314,1
15,391,5,4,1314,1
16,395,1,5,3357,1
17,395,1,5,1494,1
18,395,1,5,2441,1
19,395,1,5,1501,1
20,395,1,5,6169,1
21,395,1,5,2922,0
22,395,1,5,4265,1
23,395,2,6,1494,1
24,395,2,6,2441,1
25,395,2,6,1501,1
26,395,2,6,6169,1
27,395,2,6,2922,0
28,395,2,6,4265,1
29,395,3,7,2441,1
30,395,3,7,1501,1
31,395,3,7,6169,1
32,395,3,7,2922,0
33,395,3,7,4265,1
34,395,4,8,1501,1
35,395,4,8,6169,1
36,395,4,8,2922,0
37,395,4,8,4265,1
38,395,5,9,6169,1
39,395,5,9,2922,0
40,395,5,9,4265,1
41,395,6,10,2922,0
42,395,6,10,4265,1
43,395,7,11,4265,1
44,397,1,12,5130,1
45,397,1,12,5040,1
46,397,1,12,2786,1
47,397,1,12,3725,1
48,397,1,12,1494,1
49,397,1,12,3352,1
50,397,2,13,5040,1
51,397,2,13,2786,1
52,397,2,13,3725,1
53,397,2,13,1494,1
54,397,2,13,3352,1
55,397,3,14,2786,1
56,397,3,14,3725,1
57,397,3,14,1494,1
58,397,3,14,3352,1
59,397,5,15,1494,1
60,397,5,15,3352,1
61,397,6,16,3352,1
62,407,0,17,4155,1
63,407,0,17,5476,1
64,407,0,17,2742,1
65,407,0,17,2191,1
66,407,0,17,4203,1
67,407,0,17,1074,1
68,407,1,18,5476,1
69,407,1,18,2742,1
70,407,1,18,2191,1
71,407,1,18,4203,1
72,407,1,18,1074,1
73,407,2,19,2742,1
74,407,2,19,2191,1
75,407,2,19,4203,1
76,407,2,19,1074,1
77,407,3,20,2191,1
78,407,3,20,4203,1
79,407,3,20,1074,1
80,407,4,21,4203,1
81,407,4,21,1074,1
82,407,5,22,1074,1
83,411,0,23,561,1
84,411,0,23,4155,1
85,411,0,23,1504,1
86,411,0,23,2742,1
87,411,1,24,4155,1
88,411,1,24,1504,1
89,411,1,24,2742,1
90,411,2,25,1504,1
91,411,2,25,2742,1
92,411,3,26,2742,1
93,415,0,27,2742,1
94,415,0,27,4155,1
95,415,0,27,4203,1
96,415,0,27,2697,1
97,415,0,27,1577,1
98,415,1,28,4155,1
99,415,1,28,4203,1
100,415,1,28,2697,1
101,415,1,28,1577,1
102,415,2,29,4203,1
103,415,2,29,2697,1
104,415,2,29,1577,1
105,415,3,30,2697,1
106,415,3,30,1577,1
107,415,4,31,1577,1
108,418,0,32,3725,1
109,418,0,32,1626,1
110,418,0,32,903,1
111,418,0,32,3072,1
112,418,0,32,1223,1
113,418,0,32,6518,1
114,418,0,32,1084,1
115,418,0,32,3494,1
116,418,0,32,4457,1
117,418,0,32,5216,1
118,418,0,32,427,1
119,418,1,33,1626,1
120,418,1,33,903,1
121,418,1,33,3072,1
122,418,1,33,1223,1
123,418,1,33,6518,1
124,418,1,33,1084,1
125,418,1,33,3494,1
126,418,1,33,4457,1
127,418,1,33,5216,1
128,418,1,33,427,1
129,418,3,34,3072,1
130,418,3,34,1223,1
131,418,3,34,6518,1
132,418,3,34,1084,1
